Bone_type,OIC,,people_type,zine_level,,,Nebula,Velocity,Distance
Rib 16,11.1,,Pregnant nonvegetarians,185,,1,S. Mag.,170,0.032
Rib 16,11.22,,Pregnant nonvegetarians,189,,2,L. Mag.,290,0.034
Rib 16,11.29,,Pregnant nonvegetarians,187,,3,NGC 6822,-130,0.214
Rib 16,11.49,,Pregnant nonvegetarians,181,,4,NGC 598,-70,0.263
Gastralia,11.32,,Pregnant nonvegetarians,150,,5,NGC 221,-185,0.275
Gastralia,11.4,,Pregnant nonvegetarians,176,,6,NGC 224,-220,0.275
Gastralia,11.71,,Pregnant vegetarians,171,,7,NGC 5457,200,0.45
Gastralia,11.6,,Pregnant vegetarians,174,,8,NGC 4736,290,0.5
Gastralia,11.78,,Pregnant vegetarians,202,,9,NGC 5194,270,0.5
Gastralia,12.05,,Pregnant vegetarians,171,,10,NGC 4449,200,0.63
Dorsal vertebra,10.61,,Pregnant vegetarians,207,,11,NGC 4214,300,0.8
Dorsal vertebra,10.88,,Pregnant vegetarians,125,,12,NGC 3031,-30,0.9
Dorsal vertebra,11.12,,Pregnant vegetarians,189,,13,NGC 3627,650,0.9
Dorsal vertebra,11.24,,Pregnant vegetarians,179,,14,NGC 4626,150,0.9
Dorsal vertebra,11.43,,Pregnant vegetarians,163,,15,NGC 5236,500,0.9
Dorsal vertebra,10.92,,Pregnant vegetarians,174,,16,NGC 1068,920,1
Dorsal vertebra,11.2,,Pregnant vegetarians,184,,17,NGC 5055,450,1.1
Dorsal vertebra,11.3,,Pregnant vegetarians,186,,18,NGC 7331,500,1.1
Dorsal vertebra,11.62,,Nonpregnant vegetarians,210,,19,NGC 4258,500,1.4
Dorsal vertebra,11.7,,Nonpregnant vegetarians,139,,20,NGC 4151,960,1.7
Femur,11.7,,Nonpregnant vegetarians,172,,21,NGC 4382,500,2
Femur,11.79,,Nonpregnant vegetarians,198,,22,NGC 4472,850,2
Femur,11.91,,Nonpregnant vegetarians,177,,23,NGC 4486,800,2
Femur,12.15,,,,,24,NGC 4649,1090,2
Tibia,11.33,,,,,,,,
Tibia,11.41,,,,,,,,
Tibia,11.62,,,,,,,,
Tibia,12.15,,,,,,,,
Tibia,12.3,,,,,,,,
Metatarsal,11.32,,,,,,,,
Metatarsal,11.65,,,,,,,,
Metatarsal,11.96,,,,,,,,
Metatarsal,12.15,,,,,,,,
Phalange,11.54,,,,,,,,
Phalange,11.89,,,,,,,,
Phalange,12.04,,,,,,,,
Proximal caudal,10.93,,,,,,,,
Proximal caudal,11.01,,,,,,,,
Proximal caudal,11.08,,,,,,,,
Proximal caudal,11.12,,,,,,,,
Proximal caudal,11.28,,,,,,,,
Proximal caudal,11.37,,,,,,,,
Mid-caudal,11.35,,,,,,,,
Mid-caudal,11.43,,,,,,,,
Mid-caudal,11.5,,,,,,,,
Mid-caudal,11.57,,,,,,,,
Mid-caudal,11.92,,,,,,,,
Distal caudal,11.95,,,,,,,,
Distal caudal,12.01,,,,,,,,
Distal caudal,12.25,,,,,,,,
Distal caudal,12.3,,,,,,,,
Distal caudal,12.39,,,,,,,,
